"group.all" "pa" "lon" "lat" "X1Km_.eigenvariables.1" "X1Km_.eigenvariables.2" "X1Km_.eigenvariables.3" "X1Km_.eigenvariables.4" "X1Km_.eigenvariables.5" "X1Km_.eigenvariables.6" "X1Km_.eigenvariables.7" "X1Km_.eigenvariables.8" "X1Km_.eigenvariables.9" "X1Km_.eigenvariables.10"
"84" 3 0 -39.455559082 -10.268896484 15.2165752005727 -14.077824978081 -9.75084631660259 5.51154456886946 -6.47882483732573 1.7253399930588 -0.994706592469253 10.1654358984629 3.35077230971272 3.8332327243295
"85" 3 0 -66.425559082 -7.088896484 23.1535127186872 -10.852952854831 -13.4873648427786 7.04897215361842 -3.69154824886345 2.36519315082277 -0.49091333152944 8.97698001616131 2.62449133928387 2.59476204660339
"86" 3 0 -39.895559082 -7.078896484 17.8986941387515 -15.092386290857 -10.7119122673954 5.90698628599384 -2.47382409232657 1.66279951452707 -0.00295476763097763 8.33117993238635 2.61794469853167 3.56203636837844
"87" 2 0 -41.095559082 -19.238896484 18.1067983184644 -13.8237261075237 -12.1968026761621 7.01772600220805 -7.14772883752694 2.17041018362351 -1.71823451088484 9.33635234438285 2.87367655983912 2.31179899035799
"88" 1 0 -45.405559082 -15.508896484 16.708206497586 -14.4714354679672 -14.2552684230476 6.81351965854493 -5.08797488585147 0.821184292225546 -0.0800081662377425 8.18422237782467 3.38595935402957 4.18087386674305
"89" 3 0 -62.505559082 -9.318896484 21.4543328122446 -12.602424517413 -14.2783592984649 6.28959366402832 -6.12608085092672 2.11092167416149 -2.0007311157572 7.48465318525808 3.92479093504399 2.35346705475111
"90" 3 0 -56.445559082 -6.558896484 21.8851668149379 -11.5169723354526 -14.2824506443987 7.43050937955952 -4.71225515764431 0.549848043140148 -0.331309925368475 7.38699714881706 3.79056448193674 3.06920027973646
"91" 2 0 -65.695559082 -5.788896484 24.3892574694937 -9.85354283477909 -13.2434940833959 7.20395313995207 -3.54737200623624 2.14025472754155 -0.413179588598884 8.95794055036066 2.75798004571935 2.31080862766202
"92" 2 0 -59.775559082 -5.898896484 23.4762321201813 -11.0458133012236 -12.6440991334919 7.01898182237138 -5.72863718900856 1.0049801465383 -0.834834044679646 7.49948332830937 4.01946425552998 3.00870190723011
"93" 3 0 -67.395559082 -9.218896484 21.854744757557 -12.2638332876326 -13.5430706146575 7.0001601811819 -5.08316812886828 1.52357482370561 -0.745826085557069 8.47979782008499 4.36535468459118 2.5797785170092
"94" 3 0 -56.425559082 -5.538896484 23.2506318334246 -11.2387303833013 -13.4752085376869 6.68463421337227 -4.51132819607248 2.82773387988735 -1.3959385915498 8.46481495663177 2.41340932542826 3.51957443685658
"95" 2 0 -55.535559082 -2.688896484 22.5964962787124 -12.4066725556941 -11.7467432833542 5.67772099355706 -5.05240471317192 2.57164533973319 -1.96412817058755 7.56671739661787 5.58690516887404 3.58405455809027
"96" 1 0 -57.045559082 -5.738896484 23.2370944915646 -12.0402705200773 -12.7927810223465 7.24927724660843 -5.01717780250251 1.92762750696803 -0.827242682133711 7.79491690318668 1.39899274473354 3.82262657010744
"97" 1 0 -45.875559082 -19.198896484 15.741668151616 -11.3225400900849 -15.0963301845706 5.51903310753299 -1.94799380058336 2.51588557086853 -0.49471487248697 8.55716071747403 3.8399094092584 3.03043506564929
"98" 2 0 -56.965559082 -7.478896484 21.6167905808372 -12.2415982058326 -15.5807843029416 7.29069488335208 -5.87032760545384 1.51108970266861 -0.750821737944003 8.23842209968336 2.55737567201113 2.67284906588069
"99" 2 0 -45.125559082 -17.878896484 16.8922420430642 -13.9097779107179 -14.1725325326487 6.91834956829648 -5.55101528260164 1.03975559959572 -0.46997348496524 8.8308920087365 3.27567454727071 2.80223778000168
"100" 3 0 -38.165559082 -10.248896484 17.2893945640193 -14.2853000534071 -8.38999020214092 7.56740600536726 -4.24463302604926 2.65313312553387 -0.807574275828409 8.90427783582049 2.77642115647901 3.56771662809544
"101" 1 0 -37.715559082 -11.498896484 19.7802629375654 -11.9503398921333 -10.0876122985102 7.42484513601198 -5.56464263839165 1.66602695674381 -0.812868291456411 7.92171862482124 2.06440550913149 3.27248197837335
"102" 3 0 -43.345559082 -21.578896484 15.0336051214844 -9.70797875520349 -14.096915320998 4.28793549037376 -3.35221987909797 3.53893405002751 -2.27382307080361 9.05040852309232 3.01010767162296 1.11920163873963
"103" 3 0 -41.945559082 -16.478896484 12.8360829720315 -11.9278196196049 -12.4698685017137 2.98744446385444 -5.08919635712476 1.79188107184497 -1.07995631986928 9.88567311626758 1.43914401814283 3.27660668375789
"104" 1 0 -42.155559082 -16.158896484 14.1108043622818 -13.1374570456529 -12.5081035246834 4.8236577628199 -5.44498428039828 1.02408385879043 -0.713428753136144 8.92051973037783 3.2078826161995 3.16283708277659
"105" 3 0 -47.625559082 -13.468896484 16.6349099770778 -10.9250319714879 -14.3085634618885 2.74081171766918 -2.08873944502469 2.61412079276908 -1.33200946497631 7.56857576542897 3.44922130348347 3.33001269585715
