"group.all" "pa" "lon" "lat" "wc2.0_bio_10m_04" "wc2.0_bio_10m_05" "wc2.0_bio_10m_13" "wc2.0_bio_10m_14"
"178" 3 0 -51.0833333333333 -22.25 249.806893955359 30.9724998474121 213 35
"179" 3 0 -52.9166666666667 -24.5833333333333 310.493145343295 29.418249130249 228 81
"180" 3 0 -49.9166666666667 -23.4166666666667 279.636775446116 29.9787502288818 173 60
"181" 1 0 -49.4166666666667 -28.0833333333333 295.123099547414 23.8075008392334 192 101
"182" 2 0 -50.0833333333333 -30.0833333333333 339.455629198224 27.6590919494629 146 91
"183" 1 0 -47.9166666666667 -24.25 288.347045266474 30.6712493896484 229 54
"184" 2 0 -47.9166666666667 -23.25 247.534458464269 28.6730003356934 205 31
"185" 1 0 -48.75 -21.75 230.397975647918 31.0284996032715 239 19
"186" 3 0 -43.0833333333333 -18.75 236.609014355302 29.2329998016357 294 13
"187" 2 0 -40.75 -17.75 182.428601646238 32.0455017089844 172 29
"188" 2 0 -44.0833333333333 -18.9166666666667 219.20587785308 31.5890007019043 254 6
"189" 2 0 -46.5833333333333 -22.9166666666667 237.788790322737 27.4532508850098 234 29
"190" 2 0 -52.75 -30.75 413.670915655187 28.2964992523193 141 100
"191" 3 0 -54.75 -30.75 430.957268202973 29.8497505187988 141 112
"192" 1 0 -51.4166666666667 -27.0833333333333 340.68240153496 27.1270008087158 191 100
"193" 3 0 -52.9166666666667 -28.75 377.194126828385 29.4297504425049 157 110
"194" 3 0 -53.75 -32.75 438.227577069366 28.398250579834 130 88
"195" 1 0 -41.25 -20.75 214.778437883768 31.9657497406006 190 26
"196" 1 0 -50.9166666666667 -24.0833333333333 284.117294265485 27.8402500152588 183 75
"197" 3 0 -39.4166666666667 -16.5833333333333 156.830494555729 30.1377506256104 147 73
"198" 2 0 -40.25 -19.75 197.135079913809 31.2689990997314 193 44
"199" 2 0 -49.9166666666667 -24.5833333333333 284.433786536282 26.9707508087158 205 75
"200" 2 0 -41.4166666666667 -20.9166666666667 220.706813863948 30.076000213623 200 29
"201" 2 0 -47.75 -23.5833333333333 254.077198293131 28.2565002441406 190 35
"202" 1 0 -46.9166666666667 -22.0833333333333 234.953422609196 29.7255001068115 252 21
"203" 1 0 -42.75 -18.9166666666667 229.096742210304 29.1009998321533 294 14
"204" 2 0 -42.9166666666667 -21.0833333333333 230.365744546988 31.2320003509521 238 14
"205" 3 0 -53.0833333333333 -24.25 299.246141161056 29.6937503814697 194 74
"206" 3 0 -49.75 -27.25 333.006268959982 27.5827503204346 177 105
"207" 3 0 -43.5833333333333 -18.75 205.186037785703 27.2425003051758 287 15
"208" 1 0 -49.5833333333333 -26.75 311.502134538682 25.4492492675781 179 86
"209" 1 0 -50.5833333333333 -27.25 328.219024090906 25.0647506713867 166 98
"210" 1 0 -44.4166666666667 -18.9166666666667 208.883052063371 31.2320003509521 278 8
"211" 1 0 -51.5833333333333 -25.5833333333333 292.062565435191 25.9547500610352 181 100
"212" 3 0 -39.75 -18.9166666666667 187.284120805559 31.2260265350342 171 49
"213" 2 0 -41.4166666666667 -19.9166666666667 206.610701122539 31.0214996337891 206 25
"214" 1 0 -52.0833333333333 -23.4166666666667 292.914540513672 28.4074993133545 155 47
